year,team,conference
2021,"A&M-Corpus Christi",Southland
2021,"Abilene Christian",Southland
2021,"Air Force","Mountain West"
2021,Akron,MAC
2021,Alabama,SEC
2021,"Alabama A&M",SWAC
2021,"Alabama St.",SWAC
2021,"Albany (NY)","America East"
2021,Alcorn,SWAC
2021,American,Patriot
2021,"App State","Sun Belt"
2021,Arizona,Pac-12
2021,"Arizona St.",Pac-12
2021,"Ark.-Pine Bluff",SWAC
2021,Arkansas,SEC
2021,"Arkansas St.","Sun Belt"
2021,"Army West Point",Patriot
2021,Auburn,SEC
2021,"Austin Peay",OVC
2021,"Ball St.",MAC
2021,Baylor,"Big 12"
2021,Bellarmine,ASUN
2021,Belmont,OVC
2021,Binghamton,"America East"
2021,"Boise St.","Mountain West"
2021,"Boston College",ACC
2021,"Boston U.",Patriot
2021,"Bowling Green",MAC
2021,Bradley,MVC
2021,Bryant,NEC
2021,Bucknell,Patriot
2021,Buffalo,MAC
2021,Butler,"Big East"
2021,BYU,WCC
2021,"Cal Poly","Big West"
2021,"Cal St. Fullerton","Big West"
2021,California,Pac-12
2021,"California Baptist",WAC
2021,Campbell,"Big South"
2021,Canisius,MAAC
2021,"Central Ark.",Southland
2021,"Central Conn. St.",NEC
2021,"Central Mich.",MAC
2021,"Charleston So.","Big South"
2021,Charlotte,C-USA
2021,Chattanooga,SoCon
2021,"Chicago St.",WAC
2021,Cincinnati,AAC
2021,Clemson,ACC
2021,"Cleveland St.",Horizon
2021,"Coastal Carolina","Sun Belt"
2021,"Col. of Charleston",CAA
2021,Colgate,Patriot
2021,Colorado,Pac-12
2021,"Colorado St.","Mountain West"
2021,"Coppin St.",MEAC
2021,Creighton,"Big East"
2021,"CSU Bakersfield","Big West"
2021,CSUN,"Big West"
2021,Davidson,"Atlantic 10"
2021,Dayton,"Atlantic 10"
2021,Delaware,CAA
2021,"Delaware St.",MEAC
2021,Denver,"Summit League"
2021,DePaul,"Big East"
2021,"Detroit Mercy",Horizon
2021,"Dixie St.",WAC
2021,Drake,MVC
2021,Drexel,CAA
2021,Duke,ACC
2021,Duquesne,"Atlantic 10"
2021,"East Carolina",AAC
2021,"Eastern Ill.",OVC
2021,"Eastern Ky.",OVC
2021,"Eastern Mich.",MAC
2021,"Eastern Wash.","Big Sky"
2021,Elon,CAA
2021,ETSU,SoCon
2021,Evansville,MVC
2021,Fairfield,MAAC
2021,"Fairleigh Dickinson",NEC
2021,FGCU,ASUN
2021,FIU,C-USA
2021,"Fla. Atlantic",C-USA
2021,Florida,SEC
2021,"Florida A&M",MEAC
2021,"Florida St.",ACC
2021,Fordham,"Atlantic 10"
2021,"Fresno St.","Mountain West"
2021,Furman,SoCon
2021,"Ga. Southern","Sun Belt"
2021,Gardner-Webb,"Big South"
2021,"George Mason","Atlantic 10"
2021,"George Washington","Atlantic 10"
2021,Georgetown,"Big East"
2021,Georgia,SEC
2021,"Georgia St.","Sun Belt"
2021,"Georgia Tech",ACC
2021,Gonzaga,WCC
2021,Grambling,SWAC
2021,"Grand Canyon",WAC
2021,"Green Bay",Horizon
2021,Hampton,"Big South"
2021,Hartford,"America East"
2021,Hawaii,"Big West"
2021,"High Point","Big South"
2021,Hofstra,CAA
2021,"Holy Cross",Patriot
2021,Houston,AAC
2021,"Houston Baptist",Southland
2021,Howard,MEAC
2021,Idaho,"Big Sky"
2021,"Idaho St.","Big Sky"
2021,Illinois,"Big Ten"
2021,"Illinois St.",MVC
2021,Indiana,"Big Ten"
2021,"Indiana St.",MVC
2021,Iona,MAAC
2021,Iowa,"Big Ten"
2021,"Iowa St.","Big 12"
2021,IUPUI,Horizon
2021,"Jackson St.",SWAC
2021,Jacksonville,ASUN
2021,"Jacksonville St.",OVC
2021,"James Madison",CAA
2021,Kansas,"Big 12"
2021,"Kansas City","Summit League"
2021,"Kansas St.","Big 12"
2021,"Kennesaw St.",ASUN
2021,"Kent St.",MAC
2021,Kentucky,SEC
2021,"La Salle","Atlantic 10"
2021,Lafayette,Patriot
2021,"Lamar University",Southland
2021,Lehigh,Patriot
2021,Liberty,ASUN
2021,Lipscomb,ASUN
2021,"Little Rock","Sun Belt"
2021,LIU,NEC
